TARGETID,TILEID,FIBER,TARGET_RA,TARGET_DEC,VI_Z,VI_QUALITY,VI_SPECTYPE
39633314146945467,80613,506,105.63309552658843,54.62492020613915,0.2172,4.0,GALAXY
39633314146947737,80613,500,105.816757633024,54.62073920220038,0.5542,0.0,GALAXY
39633314151137357,80613,510,105.860612238846,54.58839106263882,0.403,4.0,GALAXY
39633314151137734,80613,503,105.89524093369393,54.61374086574029,0.2106,4.0,GALAXY
39633314151141994,80613,379,106.27014326792268,54.587046564372685,0.2708,4.0,GALAXY
39633314155331786,80613,398,106.2957725674918,54.54938099466315,0.3167,4.0,GALAXY
39633314155332057,80613,391,106.31930917727678,54.6083388962439,0.2135,4.0,GALAXY
39633314155332059,80613,363,106.31951168727852,54.584669926480494,0.2645,4.0,GALAXY
39633314155332391,80613,356,106.35191316644666,54.54165612693531,0.293,4.0,GALAXY
39633314155332539,80613,358,106.36645567911587,54.606361222875485,0.2689,4.0,GALAXY
39633314155332809,80613,397,106.39241122748967,54.57548290559632,0.4844,4.0,GALAXY
39633314155333306,80613,373,106.437633037441,54.59313042406583,0.3194,3.5,GALAXY
39633314155333904,80613,353,106.4900216147317,54.56469054313353,0.3189,4.0,GALAXY
39633314155334090,80613,478,106.50754530798834,54.53433879996818,0.4619,4.0,GALAXY
39633314155334111,80613,372,106.5094942003708,54.62053009802219,0.0433,4.0,GALAXY
39633314155334156,80613,387,106.51299989216132,54.594783604073854,0.3205,4.0,GALAXY
39633314155334418,80613,191,106.5351190215804,54.5526953655092,0.0,4.0,STAR
39633314155334812,80613,169,106.57028883012607,54.61517876021902,0.0,4.0,STAR
39633314155334885,80613,459,106.57556690017834,54.51073837755459,0.2023,4.0,GALAXY
39633314155335024,80613,192,106.58556464296502,54.58988269909001,0.3197,4.0,GALAXY
39633314155335184,80613,495,106.59960979927216,54.54737780238801,0.3351,4.0,GALAXY
39633314155335722,80613,184,106.64597250439644,54.61121347334401,0.5523,4.0,GALAXY
39633314155336498,80613,485,106.71282542628845,54.497546365430765,0.0636,4.0,GALAXY
39633314159525984,80613,189,106.71941778204956,54.59988066413549,0.3053,4.0,GALAXY
39633314159526599,80613,470,106.78376348447962,54.49964463424927,0.3345,4.0,GALAXY
39633314159526912,80613,466,106.81290091701896,54.55621321809367,0.3991,4.0,GALAXY
39633314159527180,80613,465,106.84201378809313,54.52463371805511,0.3366,4.0,GALAXY
39633314159527189,80613,479,106.84284872287805,54.5978927427246,0.3919,4.0,GALAXY
39633314159527283,80613,461,106.85215416446044,54.55606950627866,0.3916,4.0,GALAXY
39633314159528513,80613,499,106.97521991295892,54.5698081745501,0.3868,4.0,GALAXY
39633314159528535,80613,487,106.97791227998756,54.60454343325468,0.3971,4.0,GALAXY
39633314159528882,80613,484,107.01583679645904,54.53993119882055,0.0429,3.5,GALAXY
39633314159529371,80613,336,107.06167921173774,54.52692573473193,0.1283,4.0,GALAXY
39633314163720303,80613,345,107.150239238132,54.51874455887037,0.0,4.0,STAR
39633314163720430,80613,347,107.16358066384936,54.6206880751534,0.5278,3.0,GALAXY
39633314163720849,80613,317,107.20196146804548,54.552727373944656,0.5504,4.0,GALAXY
39633314163721376,80613,338,107.25145576121932,54.57158510596274,0.203,4.0,GALAXY
39633314163722028,80613,328,107.31459078403674,54.56823683185301,0.2519,4.0,GALAXY
39633314163722221,80613,321,107.33424343506972,54.53450185506432,0.2418,4.0,GALAXY
39633314163722366,80613,303,107.34895910547276,54.60214643741796,0.2024,4.0,GALAXY
39633314163723244,80613,339,107.42940918407568,54.55939598078257,0.3884,4.0,GALAXY
39633314163723263,80613,340,107.43086116281334,54.59721606367754,0.2427,4.0,GALAXY
39633314163724481,80613,301,107.54731235869669,54.60261453183889,0.4398,4.0,GALAXY
39633317657576966,80613,655,105.0323114007328,54.84549891009385,0.45,4.0,GALAXY
39633317657577082,80613,680,105.04156653464504,54.86387083048005,0.2155,4.0,GALAXY
39633317657578521,80613,684,105.18276004015532,54.85141967042328,0.3985,4.0,GALAXY
39633317657578607,80613,676,105.1893919705127,54.78185136862076,0.1276,4.0,GALAXY
39633317657578904,80613,689,105.21921855728212,54.856272477570485,0.291,4.0,GALAXY
39633317657579431,80613,693,105.2655063593688,54.7910155641475,-0.0002,4.0,STAR
39633317657579546,80613,677,105.27741984652162,54.82127997347329,0.0823,4.0,GALAXY
39633317657579860,80613,674,105.3048268188842,54.7694013211719,0.1279,4.0,GALAXY
39633317657579988,80613,670,105.31726260304916,54.72431286539545,0.0348,4.0,GALAXY
39633317661770142,80613,666,105.35513639126536,54.72643180780664,0.4077,4.0,GALAXY
39633317661770504,80613,668,105.38654425242694,54.81950761645162,0.2457,4.0,GALAXY
39633317661771100,80613,535,105.4315197257591,54.75468359044343,0.4137,4.0,GALAXY
39633317661771875,80613,538,105.4884019800976,54.70299890425022,0.2529,4.0,GALAXY
39633317661771978,80613,899,105.4949930730496,54.8459271451348,0.5557,4.0,GALAXY
39633317661772122,80613,543,105.50702440578986,54.75987400946045,0.2973,4.0,GALAXY
39633317661772159,80613,533,105.51030406131648,54.78433004062472,0.3755,4.0,GALAXY
39633317661772346,80613,524,105.52658495786515,54.67440612297916,0.2935,4.0,GALAXY
39633317661773025,80613,523,105.5899712596522,54.66647665181517,0.3042,4.0,GALAXY
39633317661773189,80613,516,105.6060141672288,54.69390267048007,0.2938,4.0,GALAXY
39633317661773199,80613,549,105.60677379461404,54.72832973551306,0.4595,3.5,GALAXY
39633317661773790,80613,515,105.6672474355634,54.66159944964879,0.1576,4.0,GALAXY
39633317661773895,80613,540,105.67794200739957,54.74638693005736,0.2526,4.0,GALAXY
39633317661774127,80613,502,105.70131919161376,54.77776867355464,0.0998,4.0,GALAXY
39633317661774131,80613,508,105.70171620262126,54.632054599774165,-0.0001,4.0,STAR
39633317661774502,80613,548,105.73205927250297,54.80691710711851,0.253,4.0,GALAXY
39633317665964208,80613,526,105.76827438925176,54.79015946926144,0.0333,4.0,GALAXY
39633317665964370,80613,521,105.78127649688636,54.6731462706825,0.0318,3.5,GALAXY
39633317665964582,80613,530,105.79914406233851,54.71627066898673,0.4523,4.0,GALAXY
39633317665964760,80613,675,105.81489845407272,54.8673633453986,0.1734,4.0,GALAXY
39633317665964966,80613,528,105.83256130095506,54.64714063197729,0.2495,4.0,GALAXY
39633317665965056,80613,507,105.83979215765946,54.759736319352776,0.4296,4.0,GALAXY
39633317665965159,80613,532,105.84976743846016,54.69271817041803,0.4501,4.0,GALAXY
39633317665965447,80613,546,105.87362225223872,54.82422639559584,0.2176,4.0,GALAXY
39633317665965775,80613,514,105.90359510184882,54.758355722042985,0.3166,4.0,QSO
39633317665966777,80613,519,105.98502067135524,54.76847473729019,0.3295,4.0,GALAXY
39633317665968276,80613,249,106.11092219053626,54.8097034337021,0.0,4.0,STAR
39633317665968815,80613,222,106.15611845770492,54.76913340688986,0.5212,4.0,GALAXY
39633317665968823,80613,216,106.1565195547128,54.83506637365009,0.2413,4.0,GALAXY
39633317665968908,80613,238,106.16314755392652,54.73600557508075,0.476,4.0,GALAXY
39633317670158600,80613,228,106.20470565517785,54.76808622483315,0.2628,4.0,GALAXY
39633317670158655,80613,201,106.21103003917756,54.805122651281465,0.1285,4.0,GALAXY
39633317670158806,80613,232,106.2270066114257,54.86272333742385,0.4553,4.0,GALAXY
39633317670159076,80613,389,106.25510662620076,54.67908434580443,0.4162,4.0,GALAXY
39633317670159171,80613,248,106.26371453778135,54.85869093928841,0.3364,4.0,GALAXY
39633317670159183,80613,211,106.26470113164504,54.80014314948635,-0.0001,4.0,STAR
39633317670160006,80613,394,106.33625492349978,54.67594020331317,0.0,4.0,STAR
39633317670160025,80613,225,106.33792556342163,54.79076073671315,0.2949,4.0,GALAXY
39633317670160128,80613,362,106.34631099262468,54.645926596986925,0.3243,4.0,GALAXY
39633317670160408,80613,380,106.37361598292664,54.69974397536217,0.3377,4.0,GALAXY
39633317670160618,80613,53,106.39214251839954,54.784117803310814,0.1548,4.0,GALAXY
39633317670160674,80613,396,106.3967796864649,54.67411115109132,0.1801,4.0,GALAXY
