TARGETID,TILEID,FIBER,TARGET_RA,TARGET_DEC,VI_Z,VI_QUALITY,VI_SPECTYPE
39627640553867564,80606,538,35.71152686966752,-5.88724425207685,0.811,4.0,GALAXY
39627640553868904,80606,524,35.74667524106668,-5.899909433194583,1.4756,3.0,GALAXY
39627640553870028,80606,516,35.778684074007884,-5.908009436181748,1.0602,4.0,GALAXY
39627640553871191,80606,506,35.810571059485866,-5.964891271520033,1.14,3.5,GALAXY
39627640553871251,80606,517,35.812028507127444,-5.89713689267854,0.4962,0.5,GALAXY
39627640553871919,80606,508,35.83188084185143,-5.96389922729447,2.0183,4.0,QSO
39627640553872515,80606,529,35.85092146413382,-5.927724339452085,0.9662,4.0,GALAXY
39627640553873773,80606,530,35.891290708703664,-5.875731534063504,0.7506,4.0,GALAXY
39627640553873831,80606,521,35.893173781003746,-5.9061369796229135,0.1445,4.0,GALAXY
39627640558059687,80606,500,35.90391621378727,-5.983800689655555,0.7751,1.5,GALAXY
39627640558060058,80606,528,35.916380502322454,-5.946096056749339,0.0686,4.0,GALAXY
39627640558060466,80606,510,35.92991180597329,-6.018358497632947,1.0486,3.5,GALAXY
39627640558060825,80606,532,35.94188898153942,-5.903984600269034,1.0325,3.5,GALAXY
39627640558061042,80606,503,35.94930511332557,-5.980579912760086,1.0058,4.0,GALAXY
39627640558066087,80606,386,36.12027568884862,-5.89603099180812,0.8596,4.0,GALAXY
39627640562254336,80606,379,36.16529955218252,-6.002835795512773,1.1603,0.5,GALAXY
39627640562254459,80606,389,36.16880002772089,-5.90417269852632,1.3357,3.5,GALAXY
39627640562255036,80606,391,36.1890338124315,-5.975331525817286,0.1446,4.0,GALAXY
39627640562255234,80606,363,36.195489644977,-6.018210883383038,0.055,4.0,GALAXY
39627640562255723,80606,394,36.21184788472732,-5.910576475053933,0.9485,3.5,GALAXY
39627640562256196,80606,358,36.22709724139575,-5.997575242162695,0.8038,4.0,GALAXY
39627640562256198,80606,356,36.22713455707363,-6.055797193060758,1.5692,2.5,GALAXY
39627640562257170,80606,397,36.259574609137154,-6.026117940036768,0.7243,4.0,GALAXY
39627640562257851,80606,373,36.280912214147065,-6.000454508136528,0.9567,0.0,GALAXY
39627640562258139,80606,351,36.28969734141323,-5.940016594142153,0.0519,4.0,GALAXY
39627640562258898,80606,478,36.31240832367879,-6.080776284006968,1.3914,4.0,GALAXY
39627640562259092,80606,191,36.31959607700006,-6.042632146868871,1.3565,3.0,GALAXY
39627640562259144,80606,387,36.3215409158008,-6.005034323252111,0.9098,4.0,GALAXY
39627640562259285,80606,165,36.32663599381974,-5.911152011869963,0.8078,4.0,GALAXY
39627640562259481,80606,459,36.3330750781654,-6.082356444368762,1.2746,3.5,GALAXY
39627640562259831,80606,169,36.34368456010713,-5.986823221647195,0.7989,4.0,GALAXY
39627640562259858,80606,158,36.34458777890873,-5.881359788219946,1.4802,4.0,GALAXY
39627640562260172,80606,161,36.35341242341823,-5.903711472193163,0.0867,4.0,GALAXY
39627640562260357,80606,192,36.35843344579872,-6.008703047645921,1.3532,2.5,GALAXY
39627640562260591,80606,177,36.36486092260909,-5.950185235185146,1.1226,4.0,GALAXY
39627640562261162,80606,184,36.3806869437282,-5.98470720170881,1.1711,4.0,GALAXY
39627640562261619,80606,471,36.39374798463423,-6.0956395235570096,0.8703,4.0,GALAXY
39627640566448436,80606,154,36.40957672412667,-5.92545874138704,1.5347,2.5,GALAXY
39627640566448566,80606,171,36.41392727919117,-5.971387323314991,0.9452,4.0,QSO
39627640566448893,80606,183,36.42539015738218,-5.903978655800406,0.7662,3.5,GALAXY
39627640566449070,80606,189,36.43135625921128,-6.0043768004259,1.2922,4.0,GALAXY
39627640566449074,80606,485,36.4314263553308,-6.095408948091918,1.5427,0.5,GALAXY
39627640566449320,80606,198,36.43901583341707,-5.940559249693854,0.1065,1.0,GALAXY
39627640566449390,80606,491,36.44150941300517,-6.042146353839554,1.5118,0.5,GALAXY
39627640566449569,80606,496,36.44694218256611,-6.064308062017407,0.2342,4.0,GALAXY
39627640566450242,80606,483,36.46743303240218,-5.995408326194129,1.5098,0.5,GALAXY
39627640566450385,80606,178,36.4727445584625,-5.898157254007055,1.3132,4.0,GALAXY
39627640566450700,80606,151,36.48324085430774,-5.947258760171324,1.0032,1.0,GALAXY
39627640566450709,80606,466,36.48375210695358,-6.052359443591625,0.7814,1.0,GALAXY
39627640566450989,80606,465,36.49256403428082,-6.081131362135626,0.8927,3.5,GALAXY
39627640566451179,80606,479,36.50137616042252,-6.019277625053666,0.4757,0.0,GALAXY
39627640566451218,80606,451,36.5030876017611,-5.97951670214042,1.3129,4.0,GALAXY
39627640566451753,80606,195,36.52448942938581,-5.947067719902175,1.3959,3.5,GALAXY
39627640566451900,80606,461,36.52987970785607,-6.045016858953915,0.1446,1.5,GALAXY
39627640566451915,80606,497,36.530350281254464,-6.095393453083271,0.3825,0.5,GALAXY
39627640566452277,80606,463,36.54310286352801,-5.988362065034147,1.0472,0.5,GALAXY
39627640566452476,80606,480,36.54993804725681,-5.957355019775612,0.7488,4.0,GALAXY
39627640566452561,80606,164,36.553055280813616,-5.912006826953274,1.7679,4.0,QSO
39627640566452866,80606,490,36.56442542585619,-6.056231616506479,0.4962,0.5,GALAXY
39627640566453072,80606,487,36.57227498550944,-5.984753483386676,1.2684,3.5,GALAXY
39627640566453214,80606,153,36.57691901165845,-5.923060124861097,1.6193,0.0,GALAXY
