TARGETID,TILEID,FIBER,TARGET_RA,TARGET_DEC,VI_Z,VI_QUALITY,VI_SPECTYPE
39627634551824898,80605,398,36.18946453136912,-6.149115843122294,0.355,4.0,GALAXY
39627634556014086,80605,353,36.291054274191865,-6.127697503907206,0.6555,4.0,GALAXY
39627634556015764,80605,191,36.33448600336392,-6.150640067188368,0.7977,4.0,GALAXY
39627634556017139,80605,495,36.3744308172597,-6.156238417732969,2.4982,3.0,QSO
39627634556018800,80605,485,36.41882485753472,-6.197608931100611,0.6995,3.5,GALAXY
39627634556019665,80605,491,36.44302732645025,-6.136826390991546,0.97,3.5,GALAXY
39627634560204882,80605,470,36.453097295455294,-6.2106461593070765,0.7218,4.0,GALAXY
39627634560206174,80605,465,36.49434733265997,-6.185283204733914,0.8611,3.5,GALAXY
39627634560208329,80605,490,36.56292677381775,-6.150966902039298,1.0461,4.0,GALAXY
39627634560210730,80605,336,36.63963287706036,-6.167587692468867,0.9966,4.0,GALAXY
39627634564401234,80605,328,36.77124951934905,-6.1308642826938575,0.8033,4.0,GALAXY
39627634564401948,80605,321,36.79338337203117,-6.172096163502129,0.9565,3.5,GALAXY
39627634564402484,80605,311,36.81021305541879,-6.128079808810531,0.4328,4.0,GALAXY
39627640549674095,80605,682,35.48018144249436,-5.890000706947888,0.629,4.0,GALAXY
39627640549676826,80605,676,35.55073634757631,-5.8988079908530855,0.8637,4.0,GALAXY
39627640549678023,80605,693,35.58220218605675,-5.893069788147125,0.5093,4.0,GALAXY
39627640549678229,80605,687,35.587220694564,-5.926325410994088,1.0067,3.5,GALAXY
39627640549680003,80605,692,35.62965960676853,-5.889021886385703,0.8135,3.0,GALAXY
39627640553865796,80605,668,35.66290745828426,-5.880878956909642,0.8093,4.0,GALAXY
39627640553868072,80605,538,35.725358241028104,-5.980706596253888,1.1934,3.5,GALAXY
39627640553868228,80605,543,35.72934126106383,-5.945984420782451,0.5075,4.0,GALAXY
39627640553868845,80605,520,35.745436958459926,-5.966179726361337,0.732,4.0,QSO
39627640553870170,80605,516,35.782377711067724,-6.001593784632566,0.8689,3.5,GALAXY
39627640553871802,80605,517,35.829249777302,-5.986298281202712,0.5081,4.0,GALAXY
39627640558059754,80605,530,35.90627045972026,-5.988860180787917,0.7765,4.0,GALAXY
