TARGETID,TILEID,FIBER,TARGET_RA,TARGET_DEC,VI_Z,VI_QUALITY,VI_SPECTYPE
39627634556011093,80605,356,36.216072414077104,-6.159200818290529,1.2846,1.0,GALAXY
39627634556011094,80605,363,36.21608882431832,-6.128186295203432,1.394,3.0,QSO
39627634556012263,80605,397,36.24615239723666,-6.138445768391183,1.5468,4.0,QSO
39627634556014615,80605,478,36.304035269010576,-6.177153479731488,1.3637,3.0,QSO
39627634556017139,80605,495,36.3744308172597,-6.156238417732969,0.4882,1.5,QSO
39627634560205781,80605,466,36.48114966071196,-6.13055187981307,1.3499,4.0,QSO
39627634560209346,80605,484,36.59674297649576,-6.154760155818011,0.7606,4.0,GALAXY
39627634564399686,80605,317,36.71868446039813,-6.153499599963689,0.4315,4.0,GALAXY
39627634564404995,80605,343,36.88696309226896,-6.126424594996838,0.0005,4.0,STAR
39627634564406097,80605,333,36.92055387509805,-6.129126621984553,0.2733,4.0,GALAXY
39627640549675570,80605,651,35.52029390483314,-5.915937553028026,1.208,2.5,GALAXY
39627640549679486,80605,670,35.61695051665489,-5.967259100187793,1.0759,1.5,GALAXY
39627640553867214,80605,513,35.70272688188581,-5.881259166293408,1.787,4.0,QSO
39627640553868657,80605,524,35.74074083027646,-6.014449282138974,1.216,4.0,GALAXY
39627640553868845,80605,520,35.745436958459926,-5.966179726361337,0.732,4.0,QSO
39627640553870763,80605,506,35.798892156685824,-6.073824817834635,0.6871,3.0,QSO
39627640553871532,80605,541,35.82084257520274,-5.877687773921107,0.6196,3.0,GALAXY
39627640553873264,80605,547,35.87513085344216,-5.938495637925931,2.3559,4.0,QSO
39627640553873706,80605,521,35.88928792395182,-6.026378076948952,1.0552,4.0,GALAXY
39627640553873969,80605,526,35.897631109603495,-5.907130230694546,0.8363,4.0,GALAXY
39627640558060466,80606,510,35.92991180597329,-6.018358497632947,1.0486,3.0,GALAXY
39627640558060499,80605,501,35.93122643910532,-5.973649388359378,0.2408,4.0,GALAXY
39627640558061285,80605,503,35.95661169602756,-6.072106598306792,0.2319,4.0,GALAXY
39627640558064291,80605,229,36.05977090036967,-5.915786822243758,0.9614,4.0,GALAXY
39627640558066637,80605,201,36.13727035948703,-5.89283661167228,0.0005,1.0,STAR
39627640558066663,80605,386,36.13800058195588,-6.000294846783125,0.9559,1.0,GALAXY
39627640562254274,80605,211,36.163467444406784,-5.91050828722812,0.4981,4.0,GALAXY
39627640562255495,80605,391,36.20414191989498,-6.080254447709212,1.1976,4.0,QSO
39627640562255862,80605,394,36.21686154432516,-6.017998240538343,2.9119,4.0,QSO
39627640562258216,80605,351,36.292217736346046,-6.023350999200535,1.2728,4.0,QSO
39627640562258485,80605,194,36.29924824337694,-5.967707756679966,-0.0004,4.0,STAR
39627640562258909,80605,165,36.31280866236207,-6.009963116606275,0.2313,4.0,GALAXY
39627640562261074,80605,186,36.37835826852319,-5.984010179277189,1.5809,3.0,GALAXY
39627640566448343,80605,171,36.40676577135191,-6.068276431831971,1.601,3.5,GALAXY
39627640566449409,80605,198,36.441966661531445,-6.0281175701402745,0.975,3.0,QSO
39627640566450418,80605,174,36.473492797989145,-5.887511516604832,0.0002,4.0,STAR
39627640566450478,80605,157,36.47554177557626,-5.941917776698975,2.5463,4.0,QSO
39627640566451869,80605,195,36.528669676626784,-6.045762923531315,1.901,4.0,QSO
39627640566452561,80606,164,36.553055280813616,-5.912006826953274,1.7676,4.0,QSO
39627640566453031,80605,190,36.57103249640309,-5.946386724459531,1.6145,1.5,GALAXY
39627640566453568,80605,193,36.58814633536251,-5.888995430337627,-0.0004,2.0,STAR
39627640566454050,80605,172,36.60310339371976,-5.921415236697839,0.7529,4.0,GALAXY
39627640566454151,80605,308,36.6065608008586,-6.09559688533499,0.6014,4.0,GALAXY
39627640566454233,80605,159,36.60943091048405,-5.986965044794595,0.7193,4.0,QSO
39627640570642545,80605,185,36.65409666676526,-5.966886026228996,0.8215,4.0,QSO
39627640570642803,80605,335,36.66246865789258,-6.0486857233793625,2.2447,4.0,QSO
39627640570642879,80605,472,36.66497384548882,-5.894203586450985,0.3393,4.0,GALAXY
39627640570643775,80605,318,36.69412338400232,-6.004325058240826,0.7933,4.0,GALAXY
39627640570645357,80605,341,36.7462741516043,-5.954235860201367,0.293,4.0,GALAXY
39627640570647275,80605,303,36.80952180760103,-6.101186070568152,1.3764,3.5,GALAXY
39627640570648074,80606,314,36.83259636287637,-5.972297302525487,1.5428,3.0,GALAXY
39627640570648518,80605,304,36.845683303949386,-6.013921942058257,0.0003,4.0,STAR
39627640570649035,80606,305,36.86031168740955,-5.947734467272126,0.9266,1.5,GALAXY
39627640574837020,80605,301,36.90901568530697,-6.084019580411469,0.2344,4.0,GALAXY
39627640574842691,80605,4905,37.062159959919285,-5.901126437291538,0.5476,1.0,GALAXY
39627640574843764,80605,4914,37.09025821008341,-5.892336631567794,1.6278,4.0,QSO
39627640574845110,80605,4931,37.12815121339743,-5.880220870217969,0.0001,4.0,STAR
39627640574846009,80605,4909,37.15339198166996,-6.00277913463595,0.5802,1.5,GALAXY
39627640579037537,80605,4806,37.343113256659706,-5.881878264726804,1.7458,4.0,QSO
39627640579037670,80605,4847,37.34660818161991,-5.924640735468797,0.9409,1.0,GALAXY
39627646560115176,80605,552,35.321911683806135,-5.695940066984695,-0.0006,4.0,STAR
