targetid,MAG_AUTO,MAG_MU,type,VI_type,comment
39627829532428694,19.640429,4.278983,PSF,QSO,
39089837394899730,19.643606,3.825,REX,GALAXY,
39089837395032549,20.821104,4.09,SER,GALAXY,
39627853691622597,20.82654,4.456,PSF,GALAXY,?
39089837395049821,20.957384,4.665,SER,GALAXY,
39089837395058276,20.96711,3.909,REX,QSO,
39627853687426553,21.01872,4.1841354,PSF,blending,?
39627853691621356,21.203337,4.084753,PSF,GALAXY,
39627835572226413,21.211592,4.2794285,PSF,QSO,
39627841591055023,21.275291,4.017395,PSF,GALAXY,
39089837394898293,21.295525,4.485,PSF,?,?
39089837395009681,21.323246,4.31,SER,GALAXY,
39089837394901236,21.572998,3.862,PSF,GALAXY,
39627847639240821,21.618097,4.074869,PSF,QSO,
39627835572229410,21.754862,4.226097,PSF,QSO,
39627847647627970,21.794687,4.0603065,SER,GALAXY,
39089837395052820,21.7947,4.575,SER,GALAXY,
39089837394933021,21.79693,3.804,PSF,QSO,
39627829519846266,21.804747,3.860567,PSF,GALAXY,
39627829528237139,21.822145,4.0399055,PSF,GALAXY,
39627829519845043,21.86749,4.0747986,PSF,QSO,
39089837394912420,21.872494,4.517,PSF,?,?
39627841607833249,21.954124,3.9093475,PSF,GALAXY,
39627835572228070,22.092669,4.45,PSF,GALAXY,?
39627853670649810,22.2031,4.0189095,PSF,GALAXY,
39627847651822612,22.214594,4.1150703,PSF,QSO,
39627847639239396,22.251446,3.9148273,PSF,GALAXY,
39627853691621195,22.326452,4.561,PSF,GALAXY,
39627829528236984,22.349056,3.9806957,PSF,GALAXY,
39089837395041104,22.384266,4.281,PSF,GALAXY,
39627853691622132,22.476122,4.34704,PSF,QSO,
39627847651824309,22.495628,4.08604,PSF,QSO,
39627847639238217,22.51426,4.536,PSF,STAR,
39089837394932892,22.520296,4.097,PSF,GALAXY,
39627847643434016,22.521286,3.956,REX,GALAXY,
39627853679038594,22.554947,3.918686,PSF,QSO
39627835559646020,22.610338,3.8198032,PSF,GALAXY,
39627853687427435,22.640402,4.423506,PSF,GALAXY,
39627853679036790,22.64897,4.055422,PSF,QSO,
39627847643435243,22.669891,3.855108,REX,QSO,
39627847647628144,22.673544,4.615,PSF,?,?
39627829524039461,22.693577,3.950175,PSF,GALAXY,?
39627829524042026,22.69469,4.153425,PSF,GALAXY,
39627841612026905,22.69476,3.873497,PSF,GALAXY,
39627835572228448,22.816381,4.367,PSF,?,?
39627847643434279,22.908375,3.9664288,PSF,GALAXY,
39627841599440753,22.938078,3.929113,PSF,GALAXY,
39627847651822700,22.948605,3.8124237,PSF,GALAXY,
39627853674841145,22.97463,4.4032097,SER,GALAXY,
39627841612027123,22.985508,4.31164,PSF,GALAXY,
39627841591055179,23.131588,3.942,DEV,GALAXY,
39627835559641944,23.160366,3.895603,PSF,GALAXY,
39627841603635692,23.17904,3.863,PSF,GALAXY,
39627847635046569,23.192808,3.823082,PSF,GALAXY,
39627823480048623,23.370367,3.8459816,SER,GALAXY,
39627841595247793,23.427002,3.950241,PSF,QSO,?
39627853687428034,23.512547,3.8099842,SER,QSO,?
39627835555450449,23.547047,3.8055515,REX,QSO,?
243341136494612,23.857271,4.518,PSF,?,?
243341132300349,23.893377,4.59,DEV,GALAXY,?
39089837390696154,24.327564,4.219,EXP,GALAXY,
39089837390696711,24.630623,4.255,PSF,GALAXY,?
243347172098106,24.644186,3.9811916,PSF,GALAXY,?
39089837390695273,24.66753,4.057,PSF,?,?
39627853687427879,24.713987,4.342,PSF,GALAXY,
