TARGETID,TILEID,FIBER,TARGET_RA,TARGET_DEC,VI_Z,VI_QUALITY,VI_SPECTYPE
39627211631763784,80674,224,86.67528346720967,-24.460427114242503,0.8093,4.0,QSO
39627211640145556,80674,79,87.02293392069606,-24.452963898016456,0.7261,4.0,QSO
39627211648534812,80674,4754,87.57805866635314,-24.54043683200073,1.3567,4.0,QSO
39627217138880700,80674,588,86.56777086874257,-24.223984218485526,0.8105,3.667,QSO
39627217164047756,80674,4725,88.22653096419135,-24.25991517844634,0.892,3.667,QSO
39627222683751815,80674,4845,88.10818875402185,-24.122660576381783,0.6145,4.0,QSO
39627228178286829,80674,1238,85.70053107934845,-23.712791442064105,0.5318,3.667,QSO
39627228199260731,80674,132,87.13613577876743,-23.68515236173204,0.8802,3.667,QSO
39627228220233949,80674,4298,88.51808726359704,-23.64211543573936,0.4238,4.0,QSO
39627233735738641,80674,700,86.8995548797332,-23.42298423589057,0.7468,3.667,QSO
39627233756709510,80674,4358,88.24817187741195,-23.39592213152056,0.9013,3.667,QSO
39627239272223776,80674,1278,86.20574873302837,-23.34076994073006,0.5088,3.667,QSO
39627239276415301,80674,1165,86.39864691194252,-23.26079272315904,0.9051,4.0,QSO
39627250437457469,80674,3595,88.01191655459775,-22.760652877307944,0.8392,3.667,QSO
39627256007496465,80674,3236,87.43242282516891,-22.5047256646234,1.18,4.0,QSO
39627261590117679,80674,2735,87.10652881489564,-22.247206018873303,0.7708,4.0,GALAXY
39627267197900947,80674,3473,87.61938751827479,-21.945797992744296,1.4037,4.0,QSO
39627272772126485,80673,528,84.94589665282047,-21.649933152284586,0.8328,3.5,QSO
39627272784715651,80673,314,85.91078145012794,-21.67308431548929,0.7784,3.5,QSO
39627272801491331,80674,2689,86.97336852215241,-21.703881637226832,1.2816,3.5,GALAXY
39627278405080584,80673,482,85.71174165066611,-21.42106430365148,0.6208,3.5,QSO
39627284038032657,80673,4996,85.90047693265649,-21.22052677788424,1.6364,2.0,QSO
39627284042224641,80673,4620,86.10339985795073,-21.212237014402486,1.487,3.0,GALAXY
39627289679369968,80673,4951,86.00837547285228,-21.01620325320641,0.8612,4.0,QSO
39627289679370460,80673,4666,86.02199556387491,-20.95061752861644,1.1964,4.0,QSO
39627295316513745,80673,908,85.32778480944644,-20.6340573561231,1.152,4.0,QSO
39627295329098977,80673,4784,86.18910230754975,-20.8650710784456,1.3354,2.5,QSO
39627300957851106,80673,1149,84.37872592398153,-20.3812709752818,1.197,3.5,QSO
39627300974625213,80673,734,85.34327830234363,-20.54368453098069,1.1841,4.0,QSO
39627300974626391,80673,730,85.37572156735065,-20.38557015527137,1.0717,4.0,QSO
39627306657907132,80673,4191,86.41985093834063,-20.243060992047106,0.8026,4.0,QSO
39627312341194876,80673,3895,86.72482534200361,-20.0462793875202,1.4455,4.0,QSO
39627318003504285,80673,2459,84.9788100473859,-19.777576561975305,1.5105,3.5,QSO
39627318028672184,80673,3617,86.6710727420214,-19.636997889314653,0.6763,4.0,QSO
39627318037053589,80673,3924,86.95406210176422,-19.83928185002452,1.551,3.5,QSO
39627323699372932,80673,2480,84.96844060245613,-19.618660227496367,1.839,3.5,QSO
39627323707753418,80673,2527,85.26066726439612,-19.434963209995143,0.6853,4.0,QSO
39627323711954210,80673,2804,85.70701427569722,-19.520465330418265,1.2633,3.5,QSO
39627323728728446,80673,3762,86.70935796169029,-19.43760321748849,0.6355,3.5,QSO
39627335116267707,80673,2433,84.72090376700098,-18.878116688129456,1.4927,3.5,QSO
39627335120459931,80673,2439,84.91344473106516,-18.883521925252293,0.8831,4.0,QSO
39627335124654418,80673,2572,85.19895747546407,-19.068669277013733,0.9103,4.0,QSO
39627761203024286,80669,169,37.89838252973391,-0.981350282243408,0.597,3.5,QSO
39627767255406542,80669,4532,38.69493335111366,-0.6864289683795642,0.8503,4.0,QSO
39627773282615417,80669,140,37.75166142015444,-0.463439942789033,1.0227,3.5,QSO
39627779305642869,80669,1052,36.95018136702607,-0.1619438460875696,0.6156,4.0,QSO
39627779318220858,80669,615,37.57037690284809,-0.1288322203707731,0.8758,3.5,QSO
39627779334997564,80669,4997,38.54503751323367,-0.3320235836085322,1.5348,3.5,QSO
